repeat	count	RPM
RSP.het.utg_2021.0_300616.quiver_278160_278261__reversed_	1.64	0.05
RSP.het.utg_2021.0_300616.quiver_198407_198522__reversed_	12.84	0.39
RSP.het.G2_Rsp_corrected_mapped_consensus_1309_1426	15.81	0.48
RSP.het.G2_Rsp_corrected_mapped_consensus_22027_22142	0.21	0.01
RSP.het.utg_2021.0_300616.quiver_245016_245132__reversed_	16.43	0.50
RSP.het.utg_2021.0_300616.quiver_236042_236158__reversed_	30.54	0.92
RSP.het.utg_2018.0_154882.quiver_25120_25236	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_235809_235925__reversed_	16.88	0.51
RSP.het.utg_2021.0_300616.quiver_234411_234527__reversed_	45.00	1.36
RSP.het.utg_2021.0_300616.quiver_221572_221688__reversed_	21.55	0.65
RSP.het.utg_2021.0_300616.quiver_214703_214819__reversed_	25.03	0.76
RSP.het.G2_Rsp_corrected_mapped_consensus_23186_23301	4.49	0.14
RSP.het.G2_Rsp_corrected_mapped_consensus_14565_14681	15.62	0.47
RSP.het.utg_2021.0_300616.quiver_273079_273195__reversed_	27.77	0.84
RSP.het.G2_Rsp_corrected_mapped_consensus_19693_19810	0.00	0.00
RSP.het.G2_Rsp_corrected_mapped_consensus_15498_15614	7.03	0.21
RSP.het.utg_2021.0_300616.quiver_222505_222621__reversed_	25.12	0.76
RSP.het.G2_Rsp_corrected_mapped_consensus_3761_3877	13.32	0.40
RSP.het.G2_Rsp_corrected_mapped_consensus_13169_13285	9.95	0.30
RSP.het.G2_Rsp_corrected_mapped_consensus_12236_12353	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_274246_274362__reversed_	29.63	0.90
RSP.het.G2_Rsp_corrected_mapped_consensus_607_724	0.00	0.00
RSP.het.G2_Rsp_corrected_mapped_consensus_141_256	15.64	0.47
RSP.het.G2_Rsp_corrected_mapped_consensus_9831_9947	22.84	0.69
RSP.het.G2_Rsp_corrected_mapped_consensus_14099_14215	25.88	0.78
RSP.het.G2_Rsp_corrected_mapped_consensus_16429_16544	11.86	0.36
RSP.het.utg_2021.0_300616.quiver_164009_164125	17.27	0.52
RSP.het.utg_2021.0_300616.quiver_278377_278493__reversed_	5.08	0.15
RSP.het.utg_2021.0_300616.quiver_226116_226232__reversed_	16.23	0.49
RSP.het.utg_2021.0_300616.quiver_205383_205499__reversed_	14.60	0.44
RSP.het.utg_2021.0_300616.quiver_296631_296746__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_241288_241403__reversed_	17.54	0.53
RSP.het.utg_2021.0_300616.quiver_220058_220174__reversed_	21.86	0.66
RSP.het.utg_2021.0_300616.quiver_243851_243967__reversed_	45.27	1.37
RSP.het.utg_2021.0_300616.quiver_241870_241986__reversed_	33.76	1.02
RSP.het.utg_2021.0_300616.quiver_298826_298941__reversed_	4.68	0.14
RSP.het.utg_2021.0_300616.quiver_190841_190956__reversed_	2.63	0.08
RSP.het.utg_2021.0_300616.quiver_295346_295462__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_283614_283729__reversed_	0.32	0.01
RSP.het.utg_2021.0_300616.quiver_158774_158889	2.99	0.09
RSP.het.utg_2021.0_300616.quiver_190500_190610__reversed_	5.90	0.18
RSP.het.utg_2021.0_300616.quiver_189036_189151__reversed_	2.60	0.08
RSP.het.utg_2021.0_300616.quiver_188459_188574__reversed_	15.23	0.46
RSP.het.utg_2021.0_300616.quiver_186894_187009__reversed_	5.89	0.18
RSP.het.utg_2021.0_300616.quiver_191680_191794__reversed_	2.26	0.07
RSP.het.utg_2021.0_300616.quiver_232029_232145__reversed_	16.20	0.49
RSP.het.utg_2021.0_300616.quiver_201859_201975__reversed_	11.73	0.36
RSP.het.G2_Rsp_corrected_mapped_consensus_18293_18409	46.81	1.42
RSP.het.G2_Rsp_corrected_mapped_consensus_22956_23071	17.87	0.54
RSP.het.G2_Rsp_corrected_mapped_consensus_15965_16078	5.01	0.15
RSP.het.G2_Rsp_corrected_mapped_consensus_15031_15147	39.01	1.18
RSP.het.utg_2021.0_300616.quiver_204567_204683__reversed_	32.59	0.99
RSP.het.utg_2021.0_300616.quiver_201509_201625__reversed_	0.67	0.02
RSP.het.utg_2539.0_24622056.quiver_23596027_23596143__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_224951_225067__reversed_	29.13	0.88
RSP.het.utg_2021.0_300616.quiver_197242_197358__reversed_	10.72	0.32
RSP.het.utg_2021.0_300616.quiver_198637_198753__reversed_	9.89	0.30
RSP.het.G2_Rsp_corrected_mapped_consensus_22257_22371	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_188232_188345__reversed_	3.06	0.09
RSP.het.utg_2021.0_300616.quiver_295119_295232__reversed_	0.00	0.00
RSP.het.utg_2021.0_300616.quiver_244084_244200__reversed_	29.95	0.91
RSP.het.G2_Rsp_corrected_mapped_consensus_16895_17012	9.71	0.29
RSP.het.G2_Rsp_corrected_mapped_consensus_23418_23533	3.41	0.10
RSP.het.utg_2021.0_300616.quiver_237440_237556__reversed_	31.79	0.96
RSP.het.G2_Rsp_corrected_mapped_consensus_18061_18177	44.96	1.36
RSP.het.utg_2021.0_300616.quiver_212372_212488__reversed_	22.77	0.69
RSP.het.G2_Rsp_corrected_mapped_consensus_18992_19108	28.47	0.86
RSP.het.utg_2021.0_300616.quiver_239773_239887__reversed_	15.18	0.46
RSP.het.utg_2021.0_300616.quiver_238490_238606__reversed_	43.07	1.30
RSP.het.G2_Rsp_corrected_mapped_consensus_14332_14448	11.01	0.33
RSP.het.utg_2021.0_300616.quiver_214470_214586__reversed_	26.25	0.79
RSP.het.utg_2021.0_300616.quiver_214237_214353__reversed_	9.65	0.29
RSP.het.utg_2021.0_300616.quiver_259126_259242__reversed_	25.58	0.77
RSP.het.utg_2021.0_300616.quiver_274479_274595__reversed_	23.16	0.70
RSP.het.utg_2021.0_300616.quiver_251082_251198__reversed_	17.85	0.54
RSP.het.utg_2539.0_24622056.quiver_23596962_23597078__reversed_	8.51	0.26
RSP.het.utg_2539.0_24622056.quiver_23596729_23596845__reversed_	0.40	0.01
RSP.het.G2_Rsp_corrected_mapped_consensus_16662_16778	1.47	0.04
RSP.het.utg_2021.0_300616.quiver_218660_218776__reversed_	15.60	0.47
RSP.het.utg_2021.0_300616.quiver_239423_239539__reversed_	39.45	1.19
RSP.het.utg_2021.0_300616.quiver_228680_228795__reversed_	15.86	0.48
RSP.het.utg_2021.0_300616.quiver_230398_230513__reversed_	29.32	0.89
RSP.het.utg_2021.0_300616.quiver_243502_243617__reversed_	16.59	0.50
RSP.het.utg_2021.0_300616.quiver_216799_216914__reversed_	10.63	0.32
RSP.het.utg_2021.0_300616.quiver_240589_240704__reversed_	27.67	0.84
RSP.het.utg_2021.0_300616.quiver_225184_225299__reversed_	18.96	0.57
RSP.het.utg_2021.0_300616.quiver_223088_223203__reversed_	13.89	0.42
RSP.het.utg_2021.0_300616.quiver_237207_237323__reversed_	26.10	0.79
RSP.het.utg_2021.0_300616.quiver_215519_215634__reversed_	3.72	0.11
RSP.het.G2_Rsp_corrected_mapped_consensus_20396_20511	5.53	0.17
RSP.het.utg_2021.0_300616.quiver_255628_255744__reversed_	42.31	1.28
RSP.het.utg_2021.0_300616.quiver_246064_246180__reversed_	22.53	0.68
RSP.het.utg_2021.0_300616.quiver_260759_260875__reversed_	66.15	2.00
RSP.het.utg_2021.0_300616.quiver_273312_273428__reversed_	46.38	1.40
RSP.het.utg_2021.0_300616.quiver_250022_250138__reversed_	16.93	0.51
RSP.het.utg_2021.0_300616.quiver_251548_251660__reversed_	53.27	1.61
RSP.het.utg_2021.0_300616.quiver_259827_259941__reversed_	77.50	2.35
RSP.het.utg_2021.0_300616.quiver_254229_254345__reversed_	26.82	0.81
RSP.het.utg_2021.0_300616.quiver_258894_259009__reversed_	10.64	0.32
RSP.het.G2_Rsp_corrected_mapped_consensus_17129_17245	4.29	0.13
RSP.het.utg_2021.0_300616.quiver_257497_257612__reversed_	55.80	1.69
RSP.het.utg_2021.0_300616.quiver_201277_201392__reversed_	5.73	0.17
RSP.het.utg_2539.0_24622056.quiver_23596260_23596374__reversed_	8.83	0.27
RSP.het.utg_2021.0_300616.quiver_257731_257844__reversed_	83.82	2.54
RSP.het.utg_2021.0_300616.quiver_250618_250733__reversed_	12.14	0.37
RSP.het.utg_2021.0_300616.quiver_151445_151561	0.00	0.00
