"repeats"	"read_count"	"num_annotations"	"num_bases"	"perc_reads"	"RPM"	"conRPM"	"ncountsRPM"	"nconRPM"
"357"	"1.688.seq357.count:1"	12.97	1	258	1e-05	0.12	0.37	0.12	0.324324324324324
"365"	"1.688.seq365.count:1"	12.77	1	348	1e-05	0.12	0.2	0.12	0.6
"402"	"1.688.seq402.count:1"	12.4	1	354	1e-05	0.12	0.97	0.12	0.123711340206186
"439"	"1.688.seq439.count:1"	12.08	1	351	1e-05	0.12	0.1	0.12	1.2
"479"	"1.688.seq479.count:1"	12	1	360	1e-05	0.12	0.12	0.12	1
"521"	"1.688.seq521.count:1"	12	1	344	1e-05	0.12	0.46	0.12	0.260869565217391
"630"	"1.688.seq630.count:1"	12.05	1	309	1e-05	0.12	0.4	0.12	0.3
"649"	"1.688.seq649.count:1"	12	1	350	1e-05	0.12	0.37	0.12	0.324324324324324
"708"	"1.688.seq708.count:1"	12.74	1	353	1e-05	0.12	0.51	0.12	0.235294117647059
"783"	"1.688.seq783.count:1"	12	1	354	1e-05	0.12	0.06	0.12	2
"784"	"1.688.seq784.count:1"	12.47	1	342	1e-05	0.12	0.16	0.12	0.75
"818"	"1.688.seq818.count:1"	12.55	1	346	1e-05	0.12	1.13	0.12	0.106194690265487
"856"	"1.688.seq856.count:1"	12.03	1	347	1e-05	0.12	0.1	0.12	1.2
"1057"	"1.688.seq1057.count:1"	12.83	1	355	1e-05	0.12	0.51	0.12	0.235294117647059
"1139"	"1.688.seq1139.count:1"	12.85	1	355	1e-05	0.12	0.24	0.12	0.5
"1197"	"1.688.seq1197.count:1"	12.09	1	255	1e-05	0.12	0.26	0.12	0.461538461538462
"1213"	"1.688.seq1213.count:1"	12.21	1	352	1e-05	0.12	0.46	0.12	0.260869565217391
"1233"	"1.688.seq1233.count:1"	12.49	1	348	1e-05	0.12	0.27	0.12	0.444444444444444
"1260"	"1.688.seq1260.count:1"	12.99	1	346	1e-05	0.12	0.5	0.12	0.24
"1319"	"1.688.seq1319.count:1"	12.52	1	360	1e-05	0.12	0.51	0.12	0.235294117647059
"1352"	"1.688.seq1352.count:1"	12.71	1	361	1e-05	0.12	1	0.12	0.12
"1419"	"1.688.seq1419.count:1"	12.81	1	348	1e-05	0.12	0.54	0.12	0.222222222222222
"117"	"1.688.seq117.count:2"	11.7	2	710	1e-05	0.11	0.79	0.055	0.139240506329114
"139"	"1.688.seq139.count:2"	11.65	2	724	1e-05	0.11	1.12	0.055	0.0982142857142857
"166"	"1.688.seq166.count:2"	11.47	2	690	1e-05	0.11	0.96	0.055	0.114583333333333
"168"	"1.688.seq168.count:2"	11.2	2	628	1e-05	0.11	0.16	0.055	0.6875
"244"	"1.688.seq244.count:1"	11.04	1	350	1e-05	0.11	0.55	0.11	0.2
"369"	"1.688.seq369.count:1"	11.89	1	359	1e-05	0.11	0.17	0.11	0.647058823529412
"395"	"1.688.seq395.count:1"	11.56	1	359	1e-05	0.11	0.95	0.11	0.115789473684211
"435"	"1.688.seq435.count:1"	11.88	1	359	1e-05	0.11	0.62	0.11	0.17741935483871
"470"	"1.688.seq470.count:1"	11.7	1	358	1e-05	0.11	1	0.11	0.11
"531"	"1.688.seq531.count:1"	11.32	1	361	1e-05	0.11	0.24	0.11	0.458333333333333
"590"	"1.688.seq590.count:1"	11.58	1	359	1e-05	0.11	0.19	0.11	0.578947368421053
"766"	"1.688.seq766.count:1"	11.2	1	360	1e-05	0.11	0.48	0.11	0.229166666666667
"812"	"1.688.seq812.count:1"	11.33	1	350	1e-05	0.11	0.36	0.11	0.305555555555556
"844"	"1.688.seq844.count:1"	11.84	1	350	1e-05	0.11	1.05	0.11	0.104761904761905
"978"	"1.688.seq978.count:1"	11.07	1	347	1e-05	0.11	0.76	0.11	0.144736842105263
"1055"	"1.688.seq1055.count:1"	11.7	1	351	1e-05	0.11	0.09	0.11	1.22222222222222
"1171"	"1.688.seq1171.count:1"	11.07	1	359	1e-05	0.11	0.16	0.11	0.6875
"1204"	"1.688.seq1204.count:1"	11.07	1	358	1e-05	0.11	0.16	0.11	0.6875
"1258"	"1.688.seq1258.count:1"	11.97	1	347	1e-05	0.11	0.59	0.11	0.186440677966102
"1269"	"1.688.seq1269.count:1"	11.91	1	346	1e-05	0.11	0.49	0.11	0.224489795918367
"1295"	"1.688.seq1295.count:1"	11.78	1	332	1e-05	0.11	0.15	0.11	0.733333333333333
